fips5,county,frs_facilities,pfas_facilities,spoke_chemicals_found,spoke_sdoh_measures,adult_asthma_pct,per_capita_income,cm_cities,rcms,climate_papers
12001,Alachua,1505,66,144,1107,9.1,29821,1,3,7
12003,Baker,150,6,140,951,9.3,24051,0,0,0
12005,Bay,1617,67,143,1109,8.9,30774,2,3,0
12007,Bradford,203,4,143,957,9.8,21003,0,0,0
12009,Brevard,3929,175,149,1120,8.3,33662,7,3,21
12011,Broward,7302,267,144,1140,7.8,34063,24,3,0
12013,Calhoun,117,13,140,924,9.1,19512,0,0,0
12015,Charlotte,975,28,142,1072,8.8,33275,3,3,0
12017,Citrus,619,28,142,1086,9.2,28174,0,0,0
12019,Clay,1155,38,141,1080,8.6,32037,3,3,0
12021,Collier,1900,69,143,1097,7.6,46785,5,3,1
12023,Columbia,434,17,143,1040,9.7,24569,0,0,0
12027,DeSoto,263,17,141,975,8.8,18193,0,0,0
12029,Dixie,110,8,140,900,9.8,19911,0,0,0
12031,Duval,7752,276,149,1137,9.1,32233,2,3,2
12033,Escambia,2342,72,151,1114,9.3,29166,9,3,0
12035,Flagler,605,12,142,1070,8.5,32722,1,3,0
12037,Franklin,142,6,140,906,8.9,26211,0,0,0
12039,Gadsden,402,27,146,983,10.4,21087,0,0,0
12041,Gilchrist,123,11,140,903,9.5,22775,0,0,0
12043,Glades,200,10,140,917,9.0,22128,0,0,0
12045,Gulf,170,8,141,928,9.5,27626,0,0,0
12047,Hamilton,122,8,141,919,9.9,15532,0,0,0
12049,Hardee,203,9,140,968,8.9,20181,0,0,0
12051,Hendry,422,24,145,998,8.8,20122,0,0,0
12053,Hernando,1070,26,143,1091,8.6,26520,1,3,0
12055,Highlands,753,39,141,1060,8.6,27979,0,0,0
12057,Hillsborough,8368,279,144,1139,8.1,33616,23,3,1
12059,Holmes,126,9,141,925,10.1,19028,0,0,0
12061,Indian River,1435,23,143,1056,8.4,38274,4,3,1
12063,Jackson,381,23,146,1027,9.6,21058,0,0,0
12065,Jefferson,114,7,140,910,9.6,25795,0,0,0
12067,Lafayette,83,5,140,853,9.2,17022,0,0,0
12069,Lake,2128,58,145,1113,8.3,29426,5,3,0
12071,Lee,5093,118,145,1119,8.3,34818,8,3,0
12073,Leon,1792,31,141,1093,9.1,31778,1,3,0
12075,Levy,326,25,141,971,9.5,22772,0,0,0
12077,Liberty,72,1,145,864,9.3,19585,0,0,0
12079,Madison,166,14,143,926,9.6,18909,0,0,0
12081,Manatee,2059,79,146,1109,8.6,35146,3,3,0
12083,Marion,2419,75,144,1090,9.0,26990,1,3,0
12085,Martin,1184,41,142,1077,7.9,43758,2,3,0
12086,Miami-Dade,9284,264,146,1128,7.7,29598,51,3,50
12087,Monroe,988,38,141,1047,7.5,47382,1,3,0
12089,Nassau,616,29,146,1041,8.5,37787,0,0,0
12091,Okaloosa,1238,56,141,1106,8.6,34357,3,3,0
12093,Okeechobee,406,27,141,1021,8.9,23133,0,0,0
12095,Orange,8727,210,147,1138,8.3,31409,12,3,14
12097,Osceola,1787,52,142,1102,8.1,24146,4,3,0
12099,Palm Beach,6717,177,150,1127,8.0,40957,17,3,9
12101,Pasco,2752,70,143,1107,8.4,29498,6,3,0
12103,Pinellas,4891,270,149,1122,8.7,36754,12,3,5
12105,Polk,5182,216,144,1127,9.0,25820,6,3,0
12107,Putnam,543,28,148,1061,9.7,22257,0,0,0
12109,St. Johns,1562,39,141,1079,8.3,43433,4,3,0
12111,St. Lucie,1706,52,143,1106,8.4,28426,2,3,0
12113,Santa Rosa,1015,56,144,1105,8.3,32322,3,3,2
12115,Sarasota,2489,104,145,1117,8.0,44402,3,3,6
12117,Seminole,2790,77,141,1116,8.0,36016,7,3,0
12119,Sumter,550,30,142,1029,7.9,35879,1,3,0
12121,Suwannee,303,18,142,1003,9.1,23389,0,0,0
12123,Taylor,210,15,147,949,9.8,19492,0,0,0
12125,Union,101,11,141,893,9.0,20663,0,0,0
12127,Volusia,3073,102,145,1119,8.3,29859,8,3,1
12129,Wakulla,188,4,140,991,8.6,28320,0,0,0
12131,Walton,788,19,141,1027,8.5,35996,1,3,0
12133,Washington,426,35,142,970,9.5,19375,0,0,0
